Score: 0.43907442688941956 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 58.90502166748047 16.50963020324707 -1.5749597549438477 1.632750153541565 4.049999237060547 1.4709012508392334 1.5722393989562988
Score: 0.08557792752981186 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.436914443969727 35.57818603515625 -2.2197482585906982 1.56689453125 3.8269402980804443 1.5117394924163818 5.228337287902832
Score: 0.0842563658952713 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 28.649608612060547 -6.86665153503418 -1.6634470224380493 1.5473049879074097 3.3093161582946777 1.5711276531219482 3.288135051727295
Score: 0.084199920296669 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 57.926204681396484 21.308391571044922 -0.9651535749435425 1.6357166767120361 4.256115913391113 1.5396389961242676 1.2111504077911377
Score: 0.08337152749300003 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.794736862182617 36.097774505615234 -2.09708833694458 1.6663416624069214 3.9829459190368652 1.542831540107727 -0.4258991479873657
Score: 0.08298113197088242 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.133447647094727 34.482112884521484 -1.9620128870010376 1.7054471969604492 3.470931053161621 1.5513720512390137 4.492203712463379
Score: 0.08268912881612778 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 28.187448501586914 -7.945435523986816 -1.4175366163253784 1.5982736349105835 3.755099296569824 1.4841972589492798 0.18860454857349396
Score: 0.08260757476091385 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 53.363487243652344 31.466951370239258 -1.9578821659088135 1.609086275100708 4.006698131561279 1.8258557319641113 0.8633058667182922
Score: 0.0824761688709259 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 3.6623337268829346 35.09730529785156 -2.002502679824829 1.6600103378295898 3.952037811279297 1.4749903678894043 4.771904945373535
Score: 0.08240614086389542 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.040348052978516 36.91703796386719 -2.3068649768829346 1.6220760345458984 3.7633023262023926 1.4925189018249512 4.31443977355957
Score: 0.08189357817173004 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 49.38448715209961 23.54859161376953 -1.3537709712982178 1.6918054819107056 4.170549392700195 1.676888108253479 4.709255218505859
Score: 0.0813509002327919 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 20.81048583984375 26.711101531982422 -2.323540687561035 1.5717480182647705 3.7072787284851074 1.5238001346588135 1.004772663116455
Score: 0.07800189405679703 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 47.971092224121094 -4.628592014312744 -0.7834227085113525 1.613140344619751 3.8258416652679443 1.526227593421936 4.486509323120117
Score: 0.07781308889389038 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 46.75394821166992 23.435928344726562 -1.7182533740997314 1.6580473184585571 4.05533504486084 1.6102640628814697 1.5949437618255615
Score: 0.0775313749909401 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 30.753808975219727 31.545015335083008 -2.1557419300079346 1.5928930044174194 3.8235106468200684 1.4450417757034302 4.865213871002197
Score: 0.07475117594003677 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 29.94664192199707 28.61696434020996 -0.7971590161323547 1.6491631269454956 3.697373390197754 1.5564885139465332 -0.06982013583183289
Score: 0.07300646603107452 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.8692654371261597 -5.950389862060547 -1.9749219417572021 1.8887814283370972 4.852595806121826 1.8387856483459473 -0.05505768582224846
Score: 0.07233492285013199 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 29.123266220092773 -7.401489734649658 -1.5536028146743774 1.5587948560714722 3.4639084339141846 1.5875815153121948 4.9383440017700195
Score: 0.07145416736602783 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.5400940775871277 30.01089096069336 -1.6526316404342651 1.6582062244415283 4.038943767547607 1.6302913427352905 1.0382916927337646
Score: 0.07116122543811798 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 31.39853286743164 -3.350994825363159 -1.6178935766220093 1.5561277866363525 3.4719419479370117 1.4529626369476318 4.629968166351318
Score: 0.07111835479736328 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 25.652294158935547 26.34518814086914 -1.876010775566101 1.6255968809127808 4.028163909912109 1.4689850807189941 1.1497101783752441
Score: 0.07107561826705933 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 57.076255798339844 20.723560333251953 -1.4109883308410645 1.5887550115585327 4.29578971862793 1.6887917518615723 1.434409260749817
Score: 0.07089019566774368 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 21.265045166015625 26.114925384521484 -2.3948943614959717 1.5767089128494263 3.7231383323669434 1.5116558074951172 1.7146433591842651
Score: 0.07069957256317139 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 45.513771057128906 19.87749481201172 -1.7088466882705688 1.6299597024917603 3.8539230823516846 1.52314031124115 1.7545701265335083
Score: 0.06979271024465561 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 28.705549240112305 -5.884332656860352 -1.509269118309021 1.4872217178344727 3.925671339035034 1.4986573457717896 3.4052927494049072
Score: 0.06886874884366989 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 12.799783706665039 32.476680755615234 -2.2361347675323486 1.7043207883834839 3.8891468048095703 1.4753174781799316 1.426764965057373
Score: 0.06861269474029541 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 31.589099884033203 20.00688362121582 -2.0709068775177 1.6004914045333862 3.9063336849212646 1.4670504331588745 1.6794060468673706
Score: 0.06856928765773773 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 24.900691986083984 28.684579849243164 -1.5869539976119995 1.633911371231079 4.038105010986328 1.5353169441223145 1.050877332687378
Score: 0.0685538724064827 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 3.967622756958008 31.445358276367188 -2.323314666748047 1.7885774374008179 4.041633605957031 1.4883545637130737 -0.2182825356721878
Score: 0.06827276200056076 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 34.50410842895508 0.4588645398616791 -0.43976855278015137 1.6235755681991577 3.6890549659729004 1.5132184028625488 4.809902667999268
Score: 0.0682150200009346 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.525226593017578 36.59206008911133 -1.9760246276855469 1.5918246507644653 3.858051300048828 1.4986541271209717 4.427484512329102
Score: 0.0655035525560379 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 20.0552921295166 26.443809509277344 -2.335143566131592 1.5873419046401978 3.662822723388672 1.5018925666809082 1.4228520393371582
Score: 0.06408214569091797 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 4.331396102905273 31.89786720275879 -2.122251033782959 1.7915613651275635 4.123088836669922 1.5002491474151611 0.4591675400733948
Score: 0.06357722729444504 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 24.693147659301758 27.499814987182617 -1.6712090969085693 1.6752665042877197 3.851717472076416 1.4838130474090576 -0.02962525561451912
Score: 0.06327928602695465 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 51.043983459472656 -0.6159534454345703 -1.6175308227539062 1.6597429513931274 4.30994176864624 1.555436372756958 0.2560293972492218
Score: 0.06283056735992432 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 29.064537048339844 -6.665617942810059 -1.6258002519607544 1.5246447324752808 3.372889518737793 1.5630483627319336 4.752302169799805
Score: 0.06258585304021835 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 50.31203842163086 5.30189323425293 -1.3852266073226929 1.5892757177352905 3.8677496910095215 1.7335509061813354 1.7780466079711914
Score: 0.06084536388516426 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 58.16632843017578 17.090229034423828 -1.610041856765747 1.6248520612716675 3.669771194458008 1.4776408672332764 0.19439652562141418
Score: 0.06067993491888046 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 39.26827621459961 19.90158462524414 -1.7850673198699951 1.6094474792480469 3.6589016914367676 1.5075687170028687 3.138005495071411
Score: 0.06029679626226425 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 47.35578918457031 15.290067672729492 -1.9511961936950684 1.5717928409576416 4.11920166015625 1.5638198852539062 1.0751540660858154
Score: 0.05959271267056465 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.28498074412345886 31.176799774169922 -1.6743286848068237 1.6757653951644897 4.174532413482666 1.6224616765975952 1.5012357234954834
Score: 0.05880628898739815 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 25.218013763427734 31.870920181274414 -1.9127366542816162 1.6819485425949097 3.9038891792297363 1.4982062578201294 1.508018970489502
Score: 0.058767806738615036 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 51.650238037109375 -2.4061532020568848 -1.421976089477539 1.5972692966461182 4.091429233551025 1.5035152435302734 1.873250961303711
Score: 0.0583156943321228 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.87995719909668 35.9178466796875 -2.0963916778564453 1.6065342426300049 3.99802303314209 1.523228406906128 4.994095325469971
Score: 0.058277785778045654 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 12.979687690734863 31.880111694335938 -2.2562687397003174 1.7050987482070923 3.890702247619629 1.5030310153961182 1.2456161975860596
Score: 0.058129992336034775 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 53.844940185546875 30.931095123291016 -1.6825031042099 1.6088148355484009 4.100557804107666 1.6969579458236694 1.0959935188293457
Score: 0.056951332837343216 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 34.54680252075195 -0.15079405903816223 -0.5685524940490723 1.6265760660171509 3.751753807067871 1.5390197038650513 4.8405961990356445
Score: 0.05679363012313843 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 30.551212310791016 25.392881393432617 -2.218893527984619 1.5879725217819214 3.717430830001831 1.4659595489501953 1.2296264171600342
Score: 0.05677982047200203 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 33.91646957397461 28.410633087158203 -1.3828067779541016 1.7242368459701538 4.116782188415527 1.6281673908233643 2.718663215637207
Score: 0.056400761008262634 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 34.17696762084961 25.41168975830078 -1.6138960123062134 1.5745748281478882 3.8761849403381348 1.43906831741333 1.5173912048339844
Score: 0.055965323001146317 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 27.53160858154297 33.000892639160156 -2.192317485809326 1.7665594816207886 4.091543197631836 1.4885238409042358 1.302611231803894
Score: 0.055753789842128754 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.68504524230957 34.98737716674805 -2.1001970767974854 1.605251669883728 3.419022798538208 1.5124831199645996 -0.5225777626037598
Score: 0.055614493787288666 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 34.891387939453125 29.83386993408203 -1.1815509796142578 1.6890223026275635 4.1549177169799805 1.6193305253982544 4.918797016143799
Score: 0.055099498480558395 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 1.0662835836410522 -0.15535560250282288 -1.62809157371521 1.6091963052749634 3.9197733402252197 1.4736545085906982 3.781486988067627
Score: 0.05476894974708557 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 39.540077209472656 25.049448013305664 -1.6690659523010254 1.5931471586227417 3.8484981060028076 1.4821830987930298 1.193017601966858
Score: 0.054470308125019073 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 57.84113693237305 16.106855392456055 -1.6801408529281616 1.6801403760910034 3.57838773727417 1.4831287860870361 0.20826168358325958
Score: 0.05379562824964523 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 50.09490966796875 17.21004867553711 -1.280827283859253 1.566268801689148 4.1638712882995605 1.5048866271972656 1.8946268558502197
Score: 0.053466662764549255 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 58.7539176940918 16.98919677734375 -1.585383653640747 1.6098369359970093 3.889613628387451 1.4572889804840088 0.24511632323265076
Score: 0.052212249487638474 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 24.96599578857422 29.849435806274414 -1.7877856492996216 1.6399071216583252 4.089798927307129 1.518608570098877 1.503908395767212
Score: 0.052103593945503235 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 12.890433311462402 33.0905876159668 -2.081101417541504 1.6697124242782593 4.137009620666504 1.4774830341339111 1.1280033588409424
Score: 0.051798172295093536 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 25.325712203979492 32.44696044921875 -1.809759497642517 1.667822241783142 3.94203782081604 1.5094234943389893 1.4248039722442627
Score: 0.051634687930345535 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 53.647804260253906 30.697114944458008 -1.8336048126220703 1.7119196653366089 4.349545955657959 1.7245144844055176 2.9321556091308594
Score: 0.051173243671655655 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 3.4742424488067627 29.911874771118164 -2.3436434268951416 1.6709787845611572 3.7757229804992676 1.4944227933883667 -0.5155311226844788
Score: 0.05074585974216461 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 29.60658073425293 26.80532455444336 -1.5111103057861328 1.719672441482544 4.087579727172852 1.5613957643508911 0.32907193899154663
Score: 0.050707969814538956 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 17.075382232666016 34.713531494140625 -1.9897913932800293 1.537254810333252 3.1388726234436035 1.4629069566726685 1.5319390296936035
Score: 0.05042855814099312 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 64.70809936523438 23.297239303588867 -1.270233154296875 1.611336588859558 4.017671585083008 1.5067824125289917 1.5580321550369263
Score: 0.05006369575858116 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 33.815818786621094 29.410083770751953 -1.193953275680542 1.636789321899414 3.819880962371826 1.5902330875396729 -0.07657778263092041
Score: 0.34342437982559204 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 46.14958190917969 -4.650984287261963 -0.8565995693206787 0.4423125982284546 1.69614577293396 1.7939715385437012 4.542994499206543
Score: 0.16303187608718872 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.22498883306980133 12.239359855651855 -1.4254355430603027 0.6563318967819214 1.8033033609390259 1.7145986557006836 0.3695608079433441
Score: 0.09987317770719528 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.22848767042160034 19.799604415893555 -1.5904606580734253 0.512516975402832 1.7901601791381836 1.6561578512191772 3.7216796875
Score: 0.0872512087225914 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.21314460039138794 13.06932544708252 -1.0934746265411377 0.6391327381134033 1.6917694807052612 1.741626501083374 0.1307584047317505
Score: 0.08102887123823166 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 47.10440444946289 -2.930656909942627 -1.4318516254425049 0.34814655780792236 1.5815223455429077 1.6658135652542114 4.474140644073486
Score: 0.07790499180555344 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.07045707106590271 14.082420349121094 -1.1960500478744507 0.6592370271682739 1.7949844598770142 1.704890489578247 3.391983985900879
Score: 0.07691889256238937 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.0960707738995552 19.434925079345703 -1.4726033210754395 0.5706735253334045 1.8558542728424072 1.6959939002990723 0.3267059624195099
Score: 0.06911774724721909 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 25.79555892944336 -7.3831467628479 -1.0426757335662842 0.531906008720398 1.6762961149215698 1.9087337255477905 0.5934790372848511
Score: 0.0682746171951294 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 47.00481033325195 -2.820791006088257 -1.4365811347961426 0.35984137654304504 1.5604549646377563 1.668116807937622 4.297819137573242
Score: 0.06340004503726959 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 30.445571899414062 -9.030913352966309 -0.8736094832420349 0.6625994443893433 0.658640444278717 1.803241491317749 -0.9978787302970886
Score: 0.06039673089981079 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 46.118675231933594 -4.571082592010498 -0.8678649067878723 0.48251911997795105 1.6712794303894043 1.8225693702697754 3.4739248752593994
Score: 0.057604677975177765 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 31.828596115112305 -9.693558692932129 -0.703917920589447 0.5805054306983948 1.483237862586975 1.7853050231933594 1.1872961521148682
Score: 0.057101208716630936 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.03145340457558632 -5.753191947937012 -1.3779895305633545 0.6547238826751709 1.750357985496521 1.7749963998794556 3.3160696029663086
Score: 0.056909509003162384 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 46.49452590942383 -4.46935510635376 -0.8840898275375366 0.4172198176383972 1.6759934425354004 1.8160532712936401 4.391376495361328
Score: 0.05138901621103287 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 45.85055160522461 -4.590763092041016 -0.9031050801277161 0.5041702389717102 1.7357735633850098 1.7666478157043457 4.57635498046875
Score: 0.05129009485244751 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 25.675928115844727 -7.307625770568848 -1.048133134841919 0.5303745865821838 1.6668816804885864 1.8792405128479004 0.9960926175117493
Score: 0.050804637372493744 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 38.3129768371582 19.798242568969727 -1.9598684310913086 0.46110931038856506 1.5833345651626587 1.6333060264587402 4.355420112609863
