Score: 0.29919007420539856 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 15.87166690826416 17.634267807006836 -0.46209633350372314 2.0397937297821045 4.810268402099609 1.7881416082382202 0.0008360320935025811 9.516548016108572e-05 1.6367219686508179
Score: 0.1840793490409851 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -38.01625061035156 23.7110538482666 -2.970254421234131 1.9898943901062012 4.6521430015563965 1.7395646572113037 -3.765645850695165e-10 -3.114462909792337e-09 1.9838495254516602
Score: 0.17191831767559052 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -15.341178894042969 45.9260139465332 1.409211277961731 1.916821837425232 4.505852222442627 1.7201271057128906 -3.765645850695165e-10 -3.114462909792337e-09 -0.49804913997650146
Score: 0.16397914290428162 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -20.099735260009766 38.114871978759766 1.3553282022476196 1.9167723655700684 4.4497222900390625 1.656256914138794 -3.765645850695165e-10 -3.114462909792337e-09 0.661771833896637
Score: 0.16344629228115082 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -42.99892044067383 48.34503936767578 1.8130027055740356 1.9107412099838257 4.510612964630127 1.6925113201141357 -3.765645850695165e-10 -3.114462909792337e-09 -0.16241216659545898
Score: 0.1614728420972824 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -51.220394134521484 38.11077117919922 1.6664516925811768 1.9288647174835205 4.5544514656066895 1.7046658992767334 -0.0005347352707758546 -0.04926123470067978 0.11602833122015
Score: 0.1582520753145218 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 2.7595298290252686 42.3312873840332 1.4079241752624512 1.893615961074829 4.4747161865234375 1.6423453092575073 -3.765645850695165e-10 -3.114462909792337e-09 -3.084127426147461
Score: 0.1572217494249344 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -9.303326606750488 36.98049545288086 1.0773348808288574 1.8590890169143677 4.359040260314941 1.650089144706726 -3.765645850695165e-10 -3.114462909792337e-09 -3.11547589302063
Score: 0.15666650235652924 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -37.50489807128906 53.6569938659668 1.9736177921295166 1.9900680780410767 4.627604007720947 1.7670130729675293 0.02371618151664734 -0.5085568428039551 0.29168587923049927
Score: 0.1531367301940918 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -13.54821491241455 -14.616007804870605 -1.5288019180297852 2.09850811958313 4.971313953399658 2.008911609649658 -3.765645850695165e-10 -3.114462909792337e-09 0.06261327117681503
Score: 0.15294015407562256 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -43.51036834716797 26.089675903320312 -2.950517416000366 1.9929968118667603 4.600461959838867 1.7411549091339111 -3.765645850695165e-10 -3.114462909792337e-09 -1.2134387493133545
Score: 0.14897234737873077 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 4.532782554626465 43.51030349731445 1.332968831062317 1.8755241632461548 4.4305644035339355 1.6733816862106323 -3.765645850695165e-10 -3.114462909792337e-09 2.8087239265441895
Score: 0.1481751948595047 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 15.307670593261719 21.976999282836914 -0.20571959018707275 1.9641380310058594 4.5386128425598145 1.7537410259246826 -3.765645850695165e-10 -3.114462909792337e-09 1.1959757804870605
Score: 0.14730523526668549 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -31.43515396118164 41.06627655029297 1.4214205741882324 2.0044283866882324 4.742515563964844 1.8284329175949097 -3.765645850695165e-10 -3.114462909792337e-09 2.0401854515075684
Score: 0.14719410240650177 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 12.340473175048828 37.56681823730469 0.9732732176780701 1.9103996753692627 4.432057857513428 1.667148232460022 -3.765645850695165e-10 -3.114462909792337e-09 2.0673322677612305
Score: 0.14381341636180878 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 6.896857738494873 43.449283599853516 1.3092083930969238 1.9845596551895142 4.664389133453369 1.7253371477127075 -3.765645850695165e-10 -3.114462909792337e-09 -1.5553417205810547
Score: 0.13940107822418213 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -14.1442232131958 46.50288009643555 1.5014662742614746 1.9323807954788208 4.544015407562256 1.7195862531661987 -3.765645850695165e-10 -3.114462909792337e-09 -0.681461751461029
Score: 0.1385316252708435 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 6.906685829162598 17.740694046020508 -0.23861154913902283 2.0075764656066895 4.733031749725342 1.7491681575775146 0.00038860327913425863 0.0002847471332643181 2.2914743423461914
Score: 0.13237091898918152 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 8.733038902282715 33.30794143676758 0.672887921333313 1.7959468364715576 4.238842964172363 1.6259875297546387 -3.765645850695165e-10 -3.114462909792337e-09 -3.072145700454712
Score: 0.12795297801494598 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 9.956137657165527 39.915733337402344 1.2632871866226196 1.8930237293243408 4.426820755004883 1.6648352146148682 -3.765645850695165e-10 -3.114462909792337e-09 2.8948447704315186
Score: 0.12756694853305817 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 3.207369327545166 28.57398796081543 0.07729250937700272 1.881295919418335 4.415772914886475 1.6098554134368896 -0.03319874033331871 0.03744373470544815 -1.670179843902588
Score: 0.12370695173740387 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 11.060108184814453 29.670440673828125 0.08258486539125443 1.9342119693756104 4.594050884246826 1.6453776359558105 -3.765645850695165e-10 -3.114462909792337e-09 -1.5843989849090576
Score: 0.12289883196353912 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -9.280131340026855 -53.79412078857422 -3.5534279346466064 1.9666215181350708 4.525511264801025 1.710937738418579 -3.765645850695165e-10 -3.114462909792337e-09 -0.026735348626971245
Score: 0.11913155019283295 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 31.018573760986328 23.011051177978516 -0.17953959107398987 2.005849838256836 4.588139057159424 1.7684673070907593 -3.765645850695165e-10 -3.114462909792337e-09 -2.845935106277466
Score: 0.11776793003082275 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -10.502657890319824 34.52413558959961 0.8857854008674622 1.8907902240753174 4.386767864227295 1.6662272214889526 0.0037514043506234884 -0.022693295031785965 0.9249352216720581
Score: 0.11743403226137161 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -17.710851669311523 39.338199615478516 1.4521564245224 1.952775239944458 4.492190837860107 1.717021107673645 -3.765645850695165e-10 -3.114462909792337e-09 -1.941894292831421
Score: 0.1126510500907898 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -43.55857849121094 24.28720474243164 -3.0183794498443604 1.9807246923446655 4.553227424621582 1.7447165250778198 -3.765645850695165e-10 -3.114462909792337e-09 -1.8506704568862915
Score: 0.11238893866539001 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -43.469947814941406 43.451656341552734 1.812930703163147 1.9590036869049072 4.6607160568237305 1.764929175376892 -0.03238177299499512 -0.21842718124389648 -0.05244986340403557
Score: 0.11087646335363388 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -11.12489128112793 -30.77361297607422 -2.147334337234497 2.073415517807007 5.077357292175293 1.8928927183151245 0.046321623027324677 -0.9920640587806702 0.099644735455513
Score: 0.11015418916940689 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 5.674422740936279 35.14493942260742 0.7226465344429016 1.895085334777832 4.5119829177856445 1.6718473434448242 -3.765645850695165e-10 -3.114462909792337e-09 2.15657901763916
Score: 0.10523191094398499 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -7.46790885925293 36.33005905151367 1.027192234992981 1.8867387771606445 4.410447597503662 1.6593806743621826 -3.765645850695165e-10 -3.114462909792337e-09 -1.837110996246338
Score: 0.10422023385763168 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 11.713035583496094 17.718189239501953 -0.8833741545677185 1.9401803016662598 4.532858371734619 1.6843842267990112 -3.765645850695165e-10 -3.114462909792337e-09 1.7890629768371582
Score: 0.10362264513969421 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 10.525893211364746 26.007699966430664 -0.1681164801120758 1.9143577814102173 4.470973014831543 1.6246466636657715 -3.765645850695165e-10 -3.114462909792337e-09 -1.1306921243667603
Score: 0.10177060961723328 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 18.91482925415039 26.02911376953125 0.19383901357650757 2.013380765914917 4.6398844718933105 1.6879074573516846 -3.765645850695165e-10 -3.114462909792337e-09 1.4394804239273071
Score: 0.10153071582317352 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -31.46056365966797 39.275367736816406 1.2053176164627075 1.9666441679000854 4.545598983764648 1.7489118576049805 -3.765645850695165e-10 -3.114462909792337e-09 1.4436216354370117
Score: 0.1014658734202385 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 23.732173919677734 16.489089965820312 -0.7734963297843933 1.9235916137695312 4.349993705749512 1.6637659072875977 -3.765645850695165e-10 -3.114462909792337e-09 -1.579101800918579
Score: 0.10129319131374359 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 12.324433326721191 53.74353790283203 1.906538486480713 1.9696656465530396 4.569481372833252 1.7337762117385864 -3.765645850695165e-10 -3.114462909792337e-09 0.6967968940734863
Score: 0.10004205256700516 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 4.416240692138672 30.868024826049805 0.0009981319308280945 1.9117944240570068 4.562756538391113 1.67566978931427 0.00020486916764639318 0.004977751988917589 3.067474365234375
Score: 0.20202460885047913 Label: 2 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -43.419742584228516 46.493099212646484 1.435917615890503 3.619737386703491 9.3392972946167 3.979296922683716 -2.9940478984968877e-09 9.8188401853605e-10 3.0962042808532715
Score: 0.2015785276889801 Label: 2 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 5.096381664276123 -5.087615489959717 -0.24737495183944702 2.6925299167633057 8.383651733398438 3.3008458614349365 -2.9940478984968877e-09 9.8188401853605e-10 0.14385510981082916
Score: 0.197981059551239 Label: 2 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -9.828349113464355 -6.926424980163574 -0.4962577223777771 2.005413770675659 4.2564287185668945 2.7190630435943604 -2.9940478984968877e-09 9.8188401853605e-10 -0.16001759469509125
Score: 0.18078479170799255 Label: 2 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -18.27243423461914 -0.3275781273841858 1.315531611442566 2.972673177719116 8.970710754394531 3.2986857891082764 -2.9940478984968877e-09 9.8188401853605e-10 1.4124774932861328
Score: 0.16764236986637115 Label: 2 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 5.06353235244751 -17.11882781982422 -1.5105817317962646 1.021950602531433 2.164388418197632 2.0319950580596924 -2.9940478984968877e-09 9.8188401853605e-10 2.5854921340942383
Score: 0.16053377091884613 Label: 1 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 2.6425116062164307 29.6469669342041 0.2845454514026642 2.119715929031372 5.365184783935547 1.9982527494430542 -2.9940478984968877e-09 9.8188401853605e-10 1.7612719535827637
Score: 0.14934857189655304 Label: 1 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 7.427314281463623 17.74732208251953 -0.22344809770584106 2.1740925312042236 5.737999439239502 2.001237392425537 -2.9940478984968877e-09 9.8188401853605e-10 -1.6343450546264648
Score: 0.14882493019104004 Label: 1 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -11.135351181030273 -30.916664123535156 -2.0788142681121826 2.145724296569824 5.42764949798584 2.087841749191284 -0.03885582089424133 -0.3950909376144409 0.0682927817106247
Score: 0.13753637671470642 Label: 2 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 14.776728630065918 21.93661117553711 -0.3957490026950836 2.146684169769287 3.6706297397613525 2.650484085083008 -2.9940478984968877e-09 9.8188401853605e-10 2.2269256114959717
Score: 0.13672485947608948 Label: 1 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 15.882438659667969 17.64461326599121 -0.5338978171348572 2.090406894683838 5.2998175621032715 1.9405354261398315 -2.9940478984968877e-09 9.8188401853605e-10 1.6485081911087036
Score: 0.12634557485580444 Label: 2 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -30.861499786376953 40.5067138671875 0.9130899906158447 2.363102436065674 4.612496852874756 2.4580719470977783 -2.9940478984968877e-09 9.8188401853605e-10 -1.06850266456604
Score: 0.12482115626335144 Label: 1 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -13.549079895019531 3.316028594970703 0.677692711353302 2.0925354957580566 5.148106575012207 2.1835062503814697 -2.9940478984968877e-09 9.8188401853605e-10 2.3505699634552
Score: 0.1182306557893753 Label: 2 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -11.28331470489502 -2.132375478744507 0.6784597635269165 2.113675117492676 4.24516487121582 2.9945778846740723 -2.9940478984968877e-09 9.8188401853605e-10 -2.8244762420654297
Score: 0.10297402739524841 Label: 1 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -12.426514625549316 5.618621349334717 0.07683093845844269 2.281055212020874 5.906122207641602 2.046489953994751 -2.9940478984968877e-09 9.8188401853605e-10 2.926532030105591
Score: 0.16500678658485413 Label: 3 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -1.5249918699264526 21.86911392211914 0.5962421894073486 3.093940496444702 13.88302993774414 3.8304097652435303 5.3641113773039706e-09 2.1506811886951027e-09 0.1925828754901886
Score: 0.16463646292686462 Label: 3 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -42.926063537597656 45.296817779541016 1.7492055892944336 2.747478723526001 8.62446403503418 3.27797794342041 5.3641113773039706e-09 2.1506811886951027e-09 0.007288969587534666
Score: 0.14892329275608063 Label: 4 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 5.0814948081970215 -0.34912964701652527 0.35765695571899414 3.1979782581329346 16.146730422973633 4.085735321044922 5.3641113773039706e-09 2.1506811886951027e-09 2.527052164077759
Score: 0.12788702547550201 Label: 3 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -1.4998376369476318 22.39759635925293 0.6895458102226257 3.1328225135803223 13.729314804077148 3.833468437194824 5.3641113773039706e-09 2.1506811886951027e-09 1.474018931388855
Score: 0.12136762589216232 Label: 3 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -1.0103418827056885 22.43804931640625 0.6940786838531494 3.0823748111724854 13.872861862182617 3.842778444290161 5.3641113773039706e-09 2.1506811886951027e-09 2.4452099800109863
Score: 0.12058302760124207 Label: 3 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -53.98500061035156 39.305213928222656 2.677778720855713 2.8744747638702393 9.929414749145508 3.3446497917175293 5.3641113773039706e-09 2.1506811886951027e-09 -1.54606032371521
Score: 0.11041688174009323 Label: 4 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -9.371665954589844 -6.944831371307373 -0.6364469528198242 1.3963253498077393 3.4003403186798096 1.666439175605774 5.3641113773039706e-09 2.1506811886951027e-09 -0.1118888407945633
Score: 0.1034809947013855 Label: 4 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -12.8754301071167 -21.854595184326172 -0.7203078269958496 3.090491771697998 17.20118522644043 4.191786289215088 5.3641113773039706e-09 2.1506811886951027e-09 3.0095157623291016
Score: 0.1027684286236763 Label: 4 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -36.89468765258789 52.53667068481445 1.825777530670166 2.169368267059326 2.869823455810547 3.070495367050171 5.3641113773039706e-09 2.1506811886951027e-09 -0.9482759833335876
Score: 0.10238619148731232 Label: 3 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -51.89995574951172 34.45875930786133 1.9236619472503662 3.0392253398895264 11.91990852355957 3.644930839538574 0.02352028898894787 -0.12728078663349152 -0.1918364018201828
Score: 0.2092019021511078 Label: 5 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -11.24907398223877 -14.720703125 -1.6122674942016602 2.324847936630249 0.5081434845924377 0.9563987255096436 -6.094140192480779e-10 -1.5622779736546022e-09 -1.2040196657180786
Score: 0.16389968991279602 Label: 5 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 6.706775665283203 -24.904287338256836 -1.882426142692566 2.4562439918518066 0.47355586290359497 0.9820406436920166 -6.094140192480779e-10 -1.5622779736546022e-09 1.58308744430542
Score: 0.1637047380208969 Label: 5 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 6.479011058807373 -17.68670654296875 -1.737200140953064 3.270440101623535 0.4137863218784332 0.9079903960227966 -6.094140192480779e-10 -1.5622779736546022e-09 1.4624600410461426
Score: 0.14049245417118073 Label: 5 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 26.138309478759766 21.464120864868164 -1.759953498840332 3.146177053451538 0.5403247475624084 0.9179068207740784 -6.094140192480779e-10 -1.5622779736546022e-09 0.20358045399188995
Score: 0.1246415376663208 Label: 5 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -12.346960067749023 -13.528036117553711 -1.6137728691101074 2.232774257659912 0.5082728862762451 0.943575382232666 -6.094140192480779e-10 -1.5622779736546022e-09 1.259040355682373
Score: 0.12417241930961609 Label: 5 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -11.183073043823242 -14.248313903808594 -1.647791862487793 2.4739418029785156 0.5585181713104248 0.9806534051895142 -6.094140192480779e-10 -1.5622779736546022e-09 0.19353172183036804
Score: 0.11501432955265045 Label: 5 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -50.285179138183594 38.270355224609375 1.4314500093460083 3.2922346591949463 0.5206400156021118 0.9476000070571899 -6.094140192480779e-10 -1.5622779736546022e-09 -1.5292131900787354
Score: 0.11382521688938141 Label: 5 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -12.470789909362793 -36.338016510009766 -2.6768791675567627 2.691847801208496 0.5383746027946472 0.927351713180542 -6.094140192480779e-10 -1.5622779736546022e-09 -1.5493896007537842
Score: 0.10987266898155212 Label: 5 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -12.756004333496094 -13.527844429016113 -1.6308295726776123 2.6867592334747314 0.5548850297927856 0.9491904973983765 -6.094140192480779e-10 -1.5622779736546022e-09 0.4151061177253723
Score: 0.10325166583061218 Label: 5 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 6.927536964416504 21.906513214111328 -0.31330281496047974 2.9466075897216797 0.5021427869796753 0.8683513402938843 -6.094140192480779e-10 -1.5622779736546022e-09 0.7260969281196594
Score: 0.10212770849466324 Label: 5 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -11.679041862487793 -25.477540969848633 -1.8982082605361938 2.956286907196045 0.6120173931121826 0.9840179085731506 -6.094140192480779e-10 -1.5622779736546022e-09 -1.5370612144470215
Score: 0.41077718138694763 Label: 6 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -9.148560523986816 -7.482255458831787 -0.6414881944656372 0.6650855541229248 1.8805961608886719 1.3161512613296509 -5.579388617782399e-10 -2.31930585847806e-09 -3.1152353286743164
Score: 0.31325894594192505 Label: 6 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 5.109528541564941 -16.67064666748047 -1.3799484968185425 0.6924211382865906 1.9778547286987305 1.414602518081665 -0.4631519615650177 0.9276231527328491 2.4107720851898193
Score: 0.25399258732795715 Label: 7 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 0.11400819569826126 -0.19489990174770355 -0.16589878499507904 0.6042986512184143 1.829383134841919 1.1572182178497314 -5.579388617782399e-10 -2.31930585847806e-09 -0.13763324916362762
Score: 0.2242344170808792 Label: 7 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -9.199666023254395 35.19636154174805 0.9365974068641663 0.6644103527069092 1.8589861392974854 1.2485454082489014 -5.579388617782399e-10 -2.31930585847806e-09 -2.8013358116149902
Score: 0.2180851399898529 Label: 6 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 28.398855209350586 -0.30138030648231506 -0.09764426201581955 0.7408310770988464 2.1548714637756348 1.3833272457122803 -5.579388617782399e-10 -2.31930585847806e-09 0.6521413326263428
Score: 0.19017799198627472 Label: 7 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -29.751970291137695 39.86311721801758 1.1169991493225098 0.7918622493743896 1.9061979055404663 1.5254045724868774 0.024447239935398102 -0.021112825721502304 -0.7235490083694458
Score: 0.18888893723487854 Label: 7 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 15.406560897827148 13.001964569091797 -2.2696261405944824 0.6012353897094727 1.7566256523132324 1.203869342803955 -5.579388617782399e-10 -2.31930585847806e-09 -1.5347331762313843
Score: 0.18100996315479279 Label: 7 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -36.832801818847656 52.49259948730469 1.4363704919815063 0.7858495116233826 2.071669101715088 1.598677396774292 0.06778495758771896 -0.003815075848251581 -1.0363216400146484
Score: 0.1501171886920929 Label: 7 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 20.03353500366211 -9.906960487365723 -2.1278250217437744 0.5788832306861877 1.7703089714050293 1.211395502090454 0.006398026365786791 0.019969677552580833 -3.1177685260772705
Score: 0.14024923741817474 Label: 6 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 28.407819747924805 0.7478323578834534 -0.1878102719783783 0.8260217308998108 2.310370683670044 1.4658228158950806 -5.579388617782399e-10 -2.31930585847806e-09 -2.56805419921875
Score: 0.13969601690769196 Label: 6 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -30.139177322387695 39.37711715698242 1.3798983097076416 0.7809095978736877 1.893943428993225 1.4245078563690186 0.07327146828174591 -0.06528305262327194 -0.4955180287361145
Score: 0.13958702981472015 Label: 6 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 6.876770973205566 -14.6900053024292 -0.08556609600782394 0.7543237805366516 2.1904678344726562 1.5201358795166016 -5.579388617782399e-10 -2.31930585847806e-09 2.953650712966919
Score: 0.12941347062587738 Label: 6 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 7.999733924865723 25.508691787719727 0.01850193738937378 0.7361329793930054 1.9585168361663818 1.359262228012085 -5.579388617782399e-10 -2.31930585847806e-09 0.23486153781414032
Score: 0.12906064093112946 Label: 7 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 10.570676803588867 53.68644714355469 1.4699288606643677 0.8033060431480408 1.8965084552764893 1.5565162897109985 -0.29621750116348267 -0.6691538691520691 -0.08340491354465485
Score: 0.12854987382888794 Label: 7 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 10.53589153289795 38.125465393066406 0.8554310202598572 0.7104605436325073 2.0033438205718994 1.651257038116455 0.02623150311410427 -0.021083874627947807 -0.9522997140884399
Score: 0.1234201043844223 Label: 6 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 24.206253051757812 -0.28242889046669006 -0.13868442177772522 0.7287262678146362 2.0839791297912598 1.3964406251907349 -5.579388617782399e-10 -2.31930585847806e-09 0.06318772584199905
