Score: 0.9070014357566833 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.168567657470703 16.247377395629883 -1.808417797088623 1.7080010175704956 4.283575057983398 1.5047880411148071 1.5744106769561768
Score: 0.06183477118611336 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 27.35431480407715 32.69646453857422 -2.004287004470825 1.6722080707550049 3.9622175693511963 1.5263936519622803 0.638477087020874
Score: 0.06182517483830452 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 50.03672409057617 37.921321868896484 -1.3842663764953613 1.7625738382339478 4.206223011016846 1.6686309576034546 2.9933602809906006
Score: 0.061396148055791855 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 22.197921752929688 -13.004426002502441 -1.4871093034744263 1.5854899883270264 3.8047714233398438 1.4649022817611694 4.9629316329956055
Score: 0.061071064323186874 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 28.03000831604004 34.216060638427734 -2.4647226333618164 1.6116955280303955 3.483335018157959 1.476029396057129 -0.5814535617828369
Score: 0.061068788170814514 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 21.83918571472168 -13.593231201171875 -1.5287349224090576 1.5795328617095947 3.849287509918213 1.4569793939590454 5.265599250793457
Score: 0.06092992424964905 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 35.07078552246094 -18.76318359375 -1.434037446975708 1.6220289468765259 3.729212522506714 1.499446988105774 4.410356044769287
Score: 0.060588158667087555 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 13.36122989654541 23.532947540283203 -0.40785717964172363 1.6807262897491455 4.100486755371094 1.6872097253799438 0.9091479182243347
Score: 0.06023205444216728 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.10272124409675598 -1.6842467784881592 -1.5803866386413574 1.556796669960022 3.6388137340545654 1.4996998310089111 4.323230743408203
Score: 0.06023048609495163 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 43.079246520996094 29.24338150024414 -1.92897629737854 1.7517598867416382 4.172926425933838 1.5620492696762085 1.2856724262237549
Score: 0.05967439338564873 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 14.859598159790039 -11.058774948120117 -1.5260157585144043 1.5473620891571045 3.9332830905914307 1.492611050605774 3.1973073482513428
Score: 0.058565620332956314 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 37.343502044677734 37.20381546020508 -1.4565157890319824 1.6042938232421875 3.856074333190918 1.4875462055206299 0.5358260869979858
Score: 0.05811174586415291 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 27.44575309753418 34.6186408996582 -2.298595428466797 1.6284297704696655 3.6585147380828857 1.4634428024291992 -0.3283597230911255
Score: 0.05797009915113449 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 51.283966064453125 16.301939010620117 -1.562035083770752 1.6214475631713867 3.9174246788024902 1.5186580419540405 1.4954134225845337
Score: 0.057505860924720764 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 48.1953125 30.26275062561035 -1.7094370126724243 1.6647815704345703 4.078122138977051 1.566275954246521 0.9998117089271545
Score: 0.05738823488354683 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 46.80722427368164 28.49008560180664 -1.7856028079986572 1.770424485206604 4.184404373168945 1.5478945970535278 -0.24787990748882294
Score: 0.05736950784921646 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 14.447042465209961 24.455272674560547 -0.4056384563446045 1.5873407125473022 3.6426541805267334 1.4634568691253662 1.445725917816162
Score: 0.05677791312336922 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 23.563159942626953 31.90361213684082 -2.5013465881347656 1.597906231880188 3.62640380859375 1.4717695713043213 1.3338974714279175
Score: 0.056593991816043854 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 4.19535493850708 11.746310234069824 -0.9638791680335999 1.658650279045105 3.8812413215637207 1.57663893699646 2.0467936992645264
Score: 0.0560816153883934 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.795108795166016 -16.522663116455078 -1.3612016439437866 1.6309585571289062 3.7856225967407227 1.5162737369537354 3.1936275959014893
Score: 0.05593090131878853 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 30.66859245300293 -29.3616943359375 -1.0069149732589722 1.5626105070114136 3.8114013671875 1.5058199167251587 2.0151045322418213
Score: 0.055645719170570374 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 27.5684871673584 32.71064758300781 -2.0956637859344482 1.6932061910629272 4.177026271820068 1.5572587251663208 1.3626577854156494
Score: 0.055343832820653915 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 4.8983259201049805 12.098780632019043 -1.0638659000396729 1.6634197235107422 3.9169671535491943 1.5456122159957886 -0.41380858421325684
Score: 0.054957546293735504 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 19.999692916870117 -14.22600269317627 -1.4410016536712646 1.642086386680603 3.9945812225341797 1.4802109003067017 3.174743175506592
Score: 0.054915718734264374 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 38.19955062866211 35.66839599609375 -1.5733567476272583 1.6564466953277588 3.9080417156219482 1.5469564199447632 1.6592549085617065
Score: 0.054750364273786545 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 5.199804306030273 11.018477439880371 -1.2126991748809814 1.657166838645935 3.856093406677246 1.4931079149246216 -0.1848004162311554
Score: 0.05413521081209183 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 46.963844299316406 38.3227424621582 0.03766012191772461 1.700850486755371 4.183270454406738 1.7505375146865845 4.398164749145508
Score: 0.05403175577521324 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 13.708378791809082 -11.092142105102539 -1.5715643167495728 1.5384348630905151 3.8834755420684814 1.5140140056610107 2.4129130840301514
Score: 0.053861211985349655 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 44.456729888916016 18.12965202331543 -1.6142066717147827 1.6447209119796753 4.025506019592285 1.4832340478897095 1.0906693935394287
Score: 0.0537373423576355 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 26.950780868530273 35.203399658203125 -2.251142740249634 1.6445438861846924 3.7280282974243164 1.4605557918548584 5.171359539031982
Score: 0.05349060893058777 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.43941232562065125 -2.2636613845825195 -1.7132970094680786 1.563452959060669 3.730708360671997 1.5109261274337769 3.4294445514678955
Score: 0.05297692492604256 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 37.58537292480469 27.027454376220703 -2.0334818363189697 1.5740091800689697 4.006396770477295 1.5512181520462036 1.8410630226135254
Score: 0.052307989448308945 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 28.247053146362305 34.396907806396484 -2.3670096397399902 1.5880444049835205 3.453282356262207 1.4882770776748657 4.673192024230957
Score: 0.05216183513402939 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 25.31660270690918 31.8221378326416 -2.3086700439453125 1.6109596490859985 4.224050998687744 1.4548007249832153 1.3723206520080566
Score: 0.052075836807489395 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 27.375629425048828 31.860227584838867 -1.8825006484985352 1.643267035484314 3.923570394515991 1.5279463529586792 0.5457220673561096
Score: 0.05151260644197464 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 17.694936752319336 -19.15083885192871 -1.7248291969299316 1.6013813018798828 3.6276938915252686 1.483314871788025 3.591207981109619
Score: 0.05135811120271683 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 23.530550003051758 31.935012817382812 -2.5783817768096924 1.5726667642593384 3.583461284637451 1.464938759803772 2.972348690032959
Score: 0.05131576955318451 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 51.9702262878418 14.245828628540039 -1.3860293626785278 1.6341183185577393 4.153902053833008 1.5521434545516968 1.5202357769012451
Score: 0.050941601395606995 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 28.330854415893555 33.47412872314453 -2.3484368324279785 1.6623376607894897 4.003995895385742 1.55024254322052 5.183703422546387
Score: 0.05093120411038399 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 14.344260215759277 -11.394680976867676 -1.5285576581954956 1.5153344869613647 3.7223434448242188 1.4928442239761353 1.8932288885116577
Score: 0.05086952820420265 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 52.28177261352539 17.054515838623047 -1.5840963125228882 1.6335052251815796 4.300525188446045 1.6041955947875977 1.285757303237915
Score: 0.050580162554979324 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 22.282352447509766 -12.35396957397461 -1.4223829507827759 1.5857822895050049 3.845491647720337 1.463659405708313 4.6349077224731445
Score: 0.05040465667843819 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 47.364044189453125 -2.433398485183716 -1.42919921875 1.5939334630966187 3.9650042057037354 1.5634347200393677 1.19094717502594
Score: 0.050276611000299454 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 6.145501136779785 -25.674842834472656 -1.431837797164917 1.5865639448165894 3.8437039852142334 1.4400752782821655 1.4004936218261719
Score: 0.05021894723176956 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 27.786481857299805 29.716041564941406 -1.4145760536193848 1.558286428451538 3.7223260402679443 1.5342193841934204 1.2381913661956787
Score: 0.05000646784901619 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 23.884071350097656 32.53842544555664 -2.4785585403442383 1.6256742477416992 4.115499496459961 1.4420188665390015 0.6019442677497864
